letter,start_pos,end_pos,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
X-,gamma1,alpha3,anti,ccw,w,n,dash,no_rotation,n,s
X-,gamma5,alpha3,anti,cw,e,n,dash,no_rotation,n,s
X-,gamma7,alpha1,anti,cw,w,s,dash,no_rotation,s,n
X-,gamma8,alpha2,anti,cw,n,w,dash,no_rotation,w,e
X-,gamma6,alpha4,anti,cw,s,e,dash,no_rotation,e,w
Y-,gamma1,beta2,dash,no_rotation,w,e,pro,cw,n,e
Y-,gamma3,beta4,dash,no_rotation,e,w,pro,cw,s,w
Y-,gamma2,beta3,dash,no_rotation,n,s,pro,cw,e,s
Y-,gamma4,beta1,dash,no_rotation,s,n,pro,cw,w,n
Y-,gamma6,beta1,dash,no_rotation,s,n,pro,ccw,e,n
Y-,gamma8,beta3,dash,no_rotation,n,s,pro,ccw,w,s
Y-,gamma5,beta4,dash,no_rotation,e,w,pro,ccw,n,w
Y-,gamma7,beta2,dash,no_rotation,w,e,pro,ccw,s,e
Y-,gamma8,beta2,pro,cw,n,e,dash,no_rotation,w,e
Y-,gamma6,beta4,pro,cw,s,w,dash,no_rotation,e,w
Y-,gamma5,beta3,pro,cw,e,s,dash,no_rotation,n,s
Y-,gamma7,beta1,pro,cw,w,n,dash,no_rotation,s,n
Y-,gamma3,beta1,pro,ccw,e,n,dash,no_rotation,s,n
Y-,gamma1,beta3,pro,ccw,w,s,dash,no_rotation,n,s
Y-,gamma2,beta4,pro,ccw,n,w,dash,no_rotation,e,w
Y-,gamma4,beta2,pro,ccw,s,e,dash,no_rotation,w,e
Z-,gamma1,beta2,dash,no_rotation,w,e,anti,ccw,n,e
Z-,gamma3,beta4,dash,no_rotation,e,w,anti,ccw,s,w
Z-,gamma2,beta3,dash,no_rotation,n,s,anti,ccw,e,s
Z-,gamma4,beta1,dash,no_rotation,s,n,anti,ccw,w,n
Z-,gamma6,beta1,dash,no_rotation,s,n,anti,cw,e,n
Z-,gamma8,beta3,dash,no_rotation,n,s,anti,cw,w,s
Z-,gamma5,beta4,dash,no_rotation,e,w,anti,cw,n,w
Z-,gamma7,beta2,dash,no_rotation,w,e,anti,cw,s,e
Z-,gamma8,beta2,anti,ccw,n,e,dash,no_rotation,w,e
Z-,gamma6,beta4,anti,ccw,s,w,dash,no_rotation,e,w
Z-,gamma5,beta3,anti,ccw,e,s,dash,no_rotation,n,s
Z-,gamma7,beta1,anti,ccw,w,n,dash,no_rotation,s,n
Z-,gamma3,beta1,anti,cw,e,n,dash,no_rotation,s,n
Z-,gamma1,beta3,anti,cw,w,s,dash,no_rotation,n,s
Z-,gamma2,beta4,anti,cw,n,w,dash,no_rotation,e,w
Z-,gamma4,beta2,anti,cw,s,e,dash,no_rotation,w,e
Σ-,beta1,gamma6,dash,no_rotation,n,s,pro,cw,n,e
Σ-,beta3,gamma8,dash,no_rotation,s,n,pro,cw,s,w
Σ-,beta2,gamma7,dash,no_rotation,e,w,pro,cw,e,s
Σ-,beta4,gamma5,dash,no_rotation,w,e,pro,cw,w,n
Σ-,beta2,gamma1,dash,no_rotation,e,w,pro,ccw,e,n
Σ-,beta4,gamma3,dash,no_rotation,w,e,pro,ccw,w,s
Σ-,beta1,gamma4,dash,no_rotation,n,s,pro,ccw,n,w
Σ-,beta3,gamma2,dash,no_rotation,s,n,pro,ccw,s,e
Σ-,beta1,gamma3,pro,cw,n,e,dash,no_rotation,n,s
Σ-,beta3,gamma1,pro,cw,s,w,dash,no_rotation,s,n
Σ-,beta2,gamma4,pro,cw,e,s,dash,no_rotation,e,w
Σ-,beta4,gamma2,pro,cw,w,n,dash,no_rotation,w,e
Σ-,beta2,gamma8,pro,ccw,e,n,dash,no_rotation,e,w
Σ-,beta4,gamma6,pro,ccw,w,s,dash,no_rotation,w,e
Σ-,beta1,gamma7,pro,ccw,n,w,dash,no_rotation,n,s
Σ-,beta3,gamma5,pro,ccw,s,e,dash,no_rotation,s,n
Δ-,beta1,gamma6,dash,no_rotation,n,s,anti,ccw,n,e
Δ-,beta3,gamma8,dash,no_rotation,s,n,anti,ccw,s,w
Δ-,beta2,gamma7,dash,no_rotation,e,w,anti,ccw,e,s
Δ-,beta4,gamma5,dash,no_rotation,w,e,anti,ccw,w,n
Δ-,beta2,gamma1,dash,no_rotation,e,w,anti,cw,e,n
Δ-,beta4,gamma3,dash,no_rotation,w,e,anti,cw,w,s
Δ-,beta1,gamma4,dash,no_rotation,n,s,anti,cw,n,w
Δ-,beta3,gamma2,dash,no_rotation,s,n,anti,cw,s,e
Δ-,beta1,gamma3,anti,ccw,n,e,dash,no_rotation,n,s
Δ-,beta3,gamma1,anti,ccw,s,w,dash,no_rotation,s,n
Δ-,beta2,gamma4,anti,ccw,e,s,dash,no_rotation,e,w
Δ-,beta4,gamma2,anti,ccw,w,n,dash,no_rotation,w,e
Δ-,beta2,gamma8,anti,cw,e,n,dash,no_rotation,e,w
Δ-,beta4,gamma6,anti,cw,w,s,dash,no_rotation,w,e
Δ-,beta1,gamma7,anti,cw,n,w,dash,no_rotation,n,s
Δ-,beta3,gamma5,anti,cw,s,e,dash,no_rotation,s,n
θ-,alpha1,gamma2,dash,no_rotation,s,n,pro,cw,n,e
θ-,alpha3,gamma4,dash,no_rotation,n,s,pro,cw,s,w
θ-,alpha2,gamma3,dash,no_rotation,w,e,pro,cw,e,s
θ-,alpha4,gamma1,dash,no_rotation,e,w,pro,cw,w,n
θ-,alpha2,gamma5,dash,no_rotation,w,e,pro,ccw,e,n
θ-,alpha4,gamma7,dash,no_rotation,e,w,pro,ccw,w,s
θ-,alpha1,gamma8,dash,no_rotation,s,n,pro,ccw,n,w
θ-,alpha3,gamma6,dash,no_rotation,n,s,pro,ccw,s,e
θ-,alpha3,gamma5,pro,cw,n,e,dash,no_rotation,s,n
θ-,alpha1,gamma7,pro,cw,s,w,dash,no_rotation,n,s
θ-,alpha4,gamma6,pro,cw,e,s,dash,no_rotation,w,e
θ-,alpha2,gamma8,pro,cw,w,n,dash,no_rotation,e,w
θ-,alpha4,gamma2,pro,ccw,e,n,dash,no_rotation,w,e
θ-,alpha2,gamma4,pro,ccw,w,s,dash,no_rotation,e,w
θ-,alpha3,gamma1,pro,ccw,n,w,dash,no_rotation,s,n
θ-,alpha1,gamma3,pro,ccw,s,e,dash,no_rotation,n,s
Ω-,alpha1,gamma2,dash,no_rotation,s,n,anti,ccw,n,e
Ω-,alpha3,gamma4,dash,no_rotation,n,s,anti,ccw,s,w
Ω-,alpha2,gamma3,dash,no_rotation,w,e,anti,ccw,e,s
Ω-,alpha4,gamma1,dash,no_rotation,e,w,anti,ccw,w,n
Ω-,alpha2,gamma5,dash,no_rotation,w,e,anti,cw,e,n
Ω-,alpha4,gamma7,dash,no_rotation,e,w,anti,cw,w,s
Ω-,alpha1,gamma8,dash,no_rotation,s,n,anti,cw,n,w
Ω-,alpha3,gamma6,dash,no_rotation,n,s,anti,cw,s,e
Ω-,alpha3,gamma5,anti,ccw,n,e,dash,no_rotation,s,n
Ω-,alpha1,gamma7,anti,ccw,s,w,dash,no_rotation,n,s
Ω-,alpha4,gamma6,anti,ccw,e,s,dash,no_rotation,w,e
Ω-,alpha2,gamma8,anti,ccw,w,n,dash,no_rotation,e,w
Ω-,alpha4,gamma2,anti,cw,e,n,dash,no_rotation,w,e
Ω-,alpha2,gamma4,anti,cw,w,s,dash,no_rotation,e,w
Ω-,alpha3,gamma1,anti,cw,n,w,dash,no_rotation,s,n
Ω-,alpha1,gamma3,anti,cw,s,e,dash,no_rotation,n,s
Φ,beta2,alpha4,static,no_rotation,e,e,dash,no_rotation,e,w
Φ,beta3,alpha1,static,no_rotation,s,s,dash,no_rotation,s,n
Φ,beta1,alpha3,static,no_rotation,n,n,dash,no_rotation,n,s
Φ,beta4,alpha2,static,no_rotation,w,w,dash,no_rotation,w,e
Φ,beta2,alpha2,dash,no_rotation,e,w,static,no_rotation,e,e
Φ,beta3,alpha3,dash,no_rotation,s,n,static,no_rotation,s,s
Φ,beta1,alpha1,dash,no_rotation,n,s,static,no_rotation,n,n
Φ,beta4,alpha4,dash,no_rotation,w,e,static,no_rotation,w,w
Ψ,alpha2,beta4,static,no_rotation,w,w,dash,no_rotation,e,w
Ψ,alpha3,beta1,static,no_rotation,n,n,dash,no_rotation,s,n
Ψ,alpha1,beta3,static,no_rotation,s,s,dash,no_rotation,n,s
Ψ,alpha4,beta2,static,no_rotation,e,e,dash,no_rotation,w,e
Ψ,alpha4,beta4,dash,no_rotation,e,w,static,no_rotation,w,w
Ψ,alpha1,beta1,dash,no_rotation,s,n,static,no_rotation,n,n
Ψ,alpha3,beta3,dash,no_rotation,n,s,static,no_rotation,s,s
Ψ,alpha2,beta2,dash,no_rotation,w,e,static,no_rotation,e,e
Λ,gamma2,gamma8,static,no_rotation,n,n,dash,no_rotation,e,w
Λ,gamma5,gamma1,dash,no_rotation,e,w,static,no_rotation,n,n
Λ,gamma6,gamma4,static,no_rotation,s,s,dash,no_rotation,e,w
Λ,gamma3,gamma7,dash,no_rotation,e,w,static,no_rotation,s,s
Λ,gamma3,gamma5,static,no_rotation,e,e,dash,no_rotation,s,n
Λ,gamma6,gamma2,dash,no_rotation,s,n,static,no_rotation,e,e
Λ,gamma7,gamma1,static,no_rotation,w,w,dash,no_rotation,s,n
Λ,gamma4,gamma8,dash,no_rotation,s,n,static,no_rotation,w,w
Λ,gamma5,gamma3,static,no_rotation,e,e,dash,no_rotation,n,s
Λ,gamma2,gamma6,dash,no_rotation,n,s,static,no_rotation,e,e
Λ,gamma1,gamma7,static,no_rotation,w,w,dash,no_rotation,n,s
Λ,gamma8,gamma4,dash,no_rotation,n,s,static,no_rotation,w,w
Λ,gamma8,gamma2,static,no_rotation,n,n,dash,no_rotation,w,e
Λ,gamma1,gamma5,dash,no_rotation,w,e,static,no_rotation,n,n
Λ,gamma4,gamma6,static,no_rotation,s,s,dash,no_rotation,w,e
Λ,gamma7,gamma3,dash,no_rotation,w,e,static,no_rotation,s,s
Φ-,alpha2,alpha4,dash,no_rotation,w,e,dash,no_rotation,e,w
Φ-,alpha3,alpha1,dash,no_rotation,n,s,dash,no_rotation,s,n
Φ-,alpha1,alpha3,dash,no_rotation,s,n,dash,no_rotation,n,s
Φ-,alpha4,alpha2,dash,no_rotation,e,w,dash,no_rotation,w,e
Ψ-,beta2,beta4,dash,no_rotation,e,w,dash,no_rotation,e,w
Ψ-,beta3,beta1,dash,no_rotation,s,n,dash,no_rotation,s,n
Ψ-,beta1,beta3,dash,no_rotation,n,s,dash,no_rotation,n,s
Ψ-,beta4,beta2,dash,no_rotation,w,e,dash,no_rotation,w,e
Λ-,gamma2,gamma4,dash,no_rotation,n,s,dash,no_rotation,e,w
Λ-,gamma6,gamma8,dash,no_rotation,s,n,dash,no_rotation,e,w
Λ-,gamma3,gamma1,dash,no_rotation,e,w,dash,no_rotation,s,n
Λ-,gamma7,gamma5,dash,no_rotation,w,e,dash,no_rotation,s,n
Λ-,gamma5,gamma7,dash,no_rotation,e,w,dash,no_rotation,n,s
Λ-,gamma1,gamma3,dash,no_rotation,w,e,dash,no_rotation,n,s
Λ-,gamma8,gamma6,dash,no_rotation,n,s,dash,no_rotation,w,e
Λ-,gamma4,gamma2,dash,no_rotation,s,n,dash,no_rotation,w,e
α,alpha2,alpha2,static,no_rotation,w,w,static,no_rotation,e,e
α,alpha1,alpha1,static,no_rotation,s,s,static,no_rotation,n,n
α,alpha3,alpha3,static,no_rotation,n,n,static,no_rotation,s,s
α,alpha4,alpha4,static,no_rotation,e,e,static,no_rotation,w,w
β,beta2,beta2,static,no_rotation,e,e,static,no_rotation,e,e
β,beta1,beta1,static,no_rotation,n,n,static,no_rotation,n,n
β,beta3,beta3,static,no_rotation,s,s,static,no_rotation,s,s
β,beta4,beta4,static,no_rotation,w,w,static,no_rotation,w,w
Γ,gamma6,gamma6,static,no_rotation,s,s,static,no_rotation,e,e
Γ,gamma2,gamma2,static,no_rotation,n,n,static,no_rotation,e,e
Γ,gamma5,gamma5,static,no_rotation,e,e,static,no_rotation,n,n
Γ,gamma1,gamma1,static,no_rotation,w,w,static,no_rotation,n,n
Γ,gamma7,gamma7,static,no_rotation,w,w,static,no_rotation,s,s
Γ,gamma3,gamma3,static,no_rotation,e,e,static,no_rotation,s,s
Γ,gamma8,gamma8,static,no_rotation,n,n,static,no_rotation,w,w
Γ,gamma4,gamma4,static,no_rotation,s,s,static,no_rotation,w,w
